name,category,tier,deadline,eligibility,cost,aid,notes,url,source
Bill of Rights Institute - We the Students Essay Contest,law_civics,🟢 Watch List,"Contest typically opens ~January and closes ~April 15 (2026 deadline was April 15, 2027 cycle expected to follow; verify prompt/deadline when it opens Jan 2027)","Grades 9-12, ages 14-18, attending school in the US",Free,"Cash prizes: $7,500 top prize plus additional awards (total $19,000+)","Low-effort, high-reward constitutional writing competition that complements debate/mock trial work. BRI also runs the Constitutional Academy summer program.",https://billofrightsinstitute.org/,"Verified BRI announcements + CollegeXpress/Competition Sciences listings, 2026-08-03"
VFW Voice of Democracy Audio Essay Scholarship,scholarships,🟢 Watch List,2026-10-31 (submit entry form + audio essay to a local VFW Post by midnight; 2026-27 theme: 'What a Veteran Taught Me About America'),U.S. high school students in grades 9-12 (homeschooled students eligible) who are U.S. citizens or nationals,Free,"$35,000 national first prize; national prizes down to $1,000; every state (Department) winner receives at least $1,000 plus a trip to Founding Forward's Spirit of America Youth Leadership experience","Founded 1947; ~28,000 entries annually. Scholarships are paid directly to the winner's U.S. college, university, or vocational/technical school.",https://www.vfw.org/community/youth-and-education/youth-scholarships,vfw.org (verified 2026-08-03)
Prudential Spirit of Community Awards,scholarships,🟢 Watch List,2026-11-05 (applications submitted through participating schools/NASSP-designated organizations; confirm exact date with school counselor),Students in grades 5-12 who are legal U.S. residents and performed a volunteer service activity within the past year (self-started projects preferred),Free,"State Honorees receive $1,000 plus a trip to D.C.; 10 National Honorees receive $5,000 plus additional awards; roughly $450,000 in awards annually",Co-sponsored by Prudential Financial and NASSP since 1995. Official site is bot-protected for automated fetchers - confirm current-cycle dates on the site or via the school counselor.; [DEAD: https://www.prudential.com/spirit-of-community],,prudential.com/spirit-of-community (live but bot-protected); myschoolportal.net and nj.gov program listings (verified 2026-08-03)
C-SPAN StudentCam Documentary Competition,scholarships,🟢 Watch List,"2027-01-20 (expected; 2026 deadline was Jan 20, 2026 - competition typically opens in September)",Students in grades 6-12 (individual or teams of up to 3) attending U.S. schools or homeschools,Free,"$100,000 in total cash prizes: 1st place $5,000, 2nd $1,500, 3rd $750, and smaller awards across the top 150 entries",Strong fit for media/civics interests. Winners announced in March and featured on C-SPAN. 23rd annual competition for the 2026-27 cycle.,https://www.studentcam.org/,studentcam.org (verified 2026-08-03)
John Locke Institute Global Essay Prize (2027 cycle),scholarships,🟢 Watch List,"2027-05-31 (2027 cycle: registration opens ~Feb 2027, registration deadline ~Mar 31, 2027, submission deadline ~May 31, 2027 - based on 2026 cycle dates)","Students under 19 years old as of the submission deadline, from any country; junior category (under 15) and senior category (15-18) judged separately",Free to enter (late submission extensions cost GBP 25-75),"Category prizes: 1st $5,000, 2nd $2,000, 3rd $1,000 scholarships; Grand Prize: $10,000 scholarship (honorary Junior Fellowship); travel grants possible in some cases","One essay per question, up to one per category; free registration in early spring of 2027 (junior year). No income requirement. Winners announced in London in October 2027.",https://www.johnlockeinstitute.com/essay-competition,johnlockeinstitute.com (verified 2026-08-03)
USA Biology Olympiad (USABO) 2027,science_math,🟢 Watch List,2026-10-30,US high school students (grades 9-12); must register through a participating host school,$125 per school registration fee (paid by the school); no individual student fee,None (school covers the fee); top finishers earn national recognition and IBO team selection,"2027 season: Open Exam ~Feb 2027, Semifinal ~Mar/Apr 2027, residential National Finals ~May-Jun 2027. Strong fit for biology interest — ask the science teacher to register the school ASAP (registration opens Aug 7, 2026).",https://www.usabo-trc.org/,usabo-trc.org
AMC 12 (2026-27 MAA American Mathematics Competitions),science_math,🟢 Watch List,2026-10-15,US high school students; AMC 12 open to grades 12 and below (under 19.5 years),~$3-6 per student (school bundle: $30 per 10 student licenses),None (nominal fee); high scores earn AIME/USAMO qualification,"2026-27 confirmed dates: AMC 10A/12A Nov 5, 2026; AMC 10B/12B Nov 13, 2026; AMC 8 Jan 21-27, 2027. AIME follows in Feb 2027. Ask the math teacher to register the school by early October.",https://maa.org/student-programs/amc/,maa.org
Science Olympiad 2027 (Division C) - CT State Tournament,science_math,🟢 Watch List,2026-11-15,"High school students (grades 9-12, Division C) on a school team",~$200-240 per team (CT registration; $100 trial team of up to 8 students),CT Science Olympiad scholarships available on request if cost is a concern,"2027 season includes biology events (Anatomy & Physiology, Disease Detectives, Ecology, etc.). CT state tournament at UConn Storrs ~April 2027 is the only qualifier to Science Olympiad Nationals. CT has ~45 participating high schools.",https://www.soinc.org/,soinc.org / ctscioly.org
Junior Science and Humanities Symposium (JSHS) 2027 - CT Regional,science_math,🟢 Watch List,2027-01-15,US high school students (grades 9-12) conducting original STEM research,$0 (free),Regional and national scholarships and awards,jshs.org is updating its site for the 2027 season ('JSHS has officially returned'); CT regional deadline ~mid-Jan 2027 per previous cycles. Biology research presentations; regional winners advance to National JSHS (~May 2027).,https://www.jshs.org/,jshs.org / health.uconn.edu
Genes in Space 2027,science_math,🟢 Watch List,2027-04-10,"US students in grades 7-12 attending US public, private, or home schools",$0 (free),Winning experiment flown to the ISS; finalist schools receive a $950 DNA Discovery System; finalists present at Countdown to Discovery (Houston),"2026 cycle closed Apr 10, 2026, so the 2027 deadline is expected ~early-mid April 2027 (confirm when announced). Partners: Boeing, miniPCR bio, New England Biolabs, ISS National Lab. Outstanding molecular biology fit.",https://www.genesinspace.org/us-contest/,genesinspace.org
BioGENEius Challenge 2027,science_math,🟢 Watch List,2027-01-31,US and Canada high school students (grades 9-12) with original biotechnology research,$0 (free),"Cash awards, recognition, and the Gene Pool cash prize for finalists",Final showcase at the BioFuture Conference (New York City). Strong biology/biotech research fit — pairs well with a CSEF/ISEF project. Note: official site content is being refreshed for the 2027 cycle.,https://biotechinstitute.org/biogeneius/,biotechinstitute.org
DOE National Science Bowl 2027,science_math,🟢 Watch List,2026-12-01,US high school students (grades 9-12) on school teams,$0 entry (national level); some regional tournaments may charge nominal fees,Travel stipends and prizes for national finalists; national trophy,"2027 National Finals confirmed Apr 29 - May 3, 2027 (Washington, DC area). Includes biology questions; good team complement to individual competitions.",https://science.osti.gov/wdts/nsb,science.osti.gov
MIT THINK Scholars Program 2027,science_math,🟢 Watch List,2027-01-01,US high school students (grades 9-12),$0 (free),"Up to $1,000 project funding and MIT mentorship for ~6 selected scholars","Applications typically open ~October 2026 and close Jan 1, 2027. Great for launching a biology research project idea with MIT backing.",https://think.mit.edu/,think.mit.edu
iGEM High School Competition 2027,science_math,🟢 Watch List,2027-06-04,High school students (approx. ages 14-19) organized into teams with an adult Principal Investigator,"Team program fee ~EUR 4,000-5,000+ (typically sponsored by school or grants)",Limited team fee waivers/support; check iGEM hardship/waiver options,"Grand Jamboree ~Nov 2027 (Paris). Cutting-edge synthetic biology; strong fit for biology interest and willingness to travel, though the highest-cost item on this list.",https://competition.igem.org/high-school,competition.igem.org
Summer Science Program (SSP) — Biochemistry track,summer_programs,🟢 Watch List,Expected SSP 2027 window: applications open ~mid-December 2026; deadline typically late January/early February 2027 (2026 cycle closed; exact dates to be posted — verify).,"High school juniors (rising seniors) only. Biochemistry track prerequisite: biology + chemistry + strong algebra skills (completed by June, for credit). No standardized tests required for US applicants (2026 policy).","$11,800 program fee (2026), all-inclusive (tuition, room, board, supplies, local transport). Free to apply.","Need-based aid up to 100% of demonstrated need (need NOT considered in admissions). In 2025 granted $3M+ in fee discounts, travel aid, and $3,000 'lost wages' stipends. Families under ~$100k income likely attend free.",SSP is test-optional for US students (2026 policy). Financial aid commitment is explicit and generous. Verified on official SSP pages 2026-08-03.,https://ssp.org/program-overview/,"https://ssp.org/program-overview/, https://ssp.org/fees-financial-aid/, https://ssp.org/getting-started/ (fetched 2026-08-03)"
Anson L. Clark Scholars Program — Texas Tech University,summer_programs,🟢 Watch List,"Expected 2027 window: application opens ~January 1, 2027; deadline ~February 16, 2027 (11:59pm CT). 2026 deadline was Feb 16, 2026.","Rising high school seniors and recent graduates; applicants MUST be at least 17 years old by the program start date (no exceptions). Requires PSAT/SAT/ACT scores (PSAT accepted), 3 recommendations, essays, transcript.",Free (no tuition; room and board covered). Stipend provided (~$750; amount to confirm).,None needed — program is free and provides a stipend,12 students/year → extremely selective. Decisions by early May. 2026 program dates were June 21 – Aug 6. Verified on official TTU pages 2026-08-03.,https://www.depts.ttu.edu/clarkscholars/,https://www.depts.ttu.edu/clarkscholars/ApplicationDetails.php and /FrequentlyAskedQuestions.php (fetched 2026-08-03)
Simons Summer Research Program — Stony Brook University,summer_programs,🟢 Watch List,Expected 2027 window: application opens ~mid-December 2026/January 2027; deadline ~mid-February 2027. 2026 applications closed (no late apps).,Must be a current junior (11th grade) at time of application; US citizen or permanent resident; at least 16 years old by program start. Must be nominated by a school official (max 2 nominees per school).,"Free (no tuition); fellows receive a stipend (amount to confirm, historically ~$3,000)",None needed — program is free and includes a stipend,Highly selective; great biology research options at SBU. Decisions ~April. Verified on official Stony Brook pages 2026-08-03.,https://www.stonybrook.edu/simons/,https://www.stonybrook.edu/simons/ and /commcms/simons/about/faqs.php (fetched 2026-08-03)
Garcia Summer Research Program — Stony Brook University,summer_programs,🟢 Watch List,Expected 2027 window: application opens ~December 2026; deadline ~late February/March 2027 (2026 cycle closed; decisions released early April).,"Must be at least 16 years old on/before July 4, 2027 (no exceptions); unweighted GPA 95/100 (3.8/4.0); standardized test scores (PSAT/SAT/ACT/AP/IB/Regents) at 60th percentile+; at least 3 of: English, Chemistry, Math/Calculus, Physics, Biology (honors/AP a plus). 3 letters of recommendation (one from science teacher).","~$6,700 total: $4,000 laboratory usage fee + optional room package $2,599 + $50 non-refundable registration fee + $66 health services fee (2026 prices)",NO financial aid or scholarships available (per program FAQ),"No financial aid — budget ~$6,700. International students welcome but must self-fund visa/logistics. Verified on official Stony Brook pages 2026-08-03.",https://www.stonybrook.edu/garcia/summer-program/program-description.html,"https://www.stonybrook.edu/garcia/summer-program/apply.html, /eligibility.html, /faqs.html (fetched 2026-08-03)"
NIH High School Summer Internship Program (HS-SIP) — NIH Bethesda/other campuses,summer_programs,🟢 Watch List,"Expected 2027 window: applications open ~November 1, 2026; deadline ~March 1, 2027 (rolling — apply early; labs fill as slots open).",US citizen or permanent resident; typically must be 17 years old by June 1 of the program year (verify exact age rule for 2027); enrolled in high school at time of application.,"Free; participants are PAID a monthly stipend (high-school rate, approx $2,500–$3,500/month depending on experience — verify current rate)",Paid program (stipend); housing is NOT provided — students must arrange local housing (commuter-friendly for DC-area; out-of-state students need a plan),"Stipend + real NIH lab experience. Extremely competitive; application requires transcript, resume, references. Verified on official NIH page 2026-08-03 (page is the general SIP; HS specifics to confirm at application).",https://www.training.nih.gov/programs/hs-sip,https://www.training.nih.gov/programs/hs-sip (fetched 2026-08-03)
"Jackson Laboratory Summer Student Program (SSP) — Bar Harbor, ME & Farmington, CT",summer_programs,🟢 Watch List,Expected 2027 window: applications open ~mid-December 2026; deadline ~mid-February 2027 (recent cycles: mid-Feb; verify exact date on site).,"Current high school juniors and seniors (rising juniors/seniors for summer); typically must be 16+ by program start (verify). Requires transcript, recommendations, essays.","Free; students receive a paid stipend (~$6,900 for the summer in recent cycles — verify) plus housing and meals",Paid program (stipend + room/board covered),"Highly selective (~40 students/year). APPROXIMATE details flagged — verify stipend, dates, and exact deadline on the official site (page content not retrievable via plain fetch).; [DEAD: https://www.jax.org/education-and-training/high-school-students/summer-student-program]",,https://www.jax.org/education-and-training/high-school-students/summer-student-program (JS-rendered; details from prior cycles — VERIFY)
Secondary Student Training Program (SSTP) — University of Iowa / Belin-Blank Center,summer_programs,🟢 Watch List,"2026 cycle (verified): applications opened December 15, 2025; deadline February 16, 2026 (11:59pm CST); notification April 2. Expected 2027: opens ~Dec 15, 2026; deadline ~mid-Feb 2027.","Advanced high school students in grades 10-11 (rising juniors/seniors). Requires teacher recommendations, transcript, essays.","$7,500 (covers room, board, materials, activities; 2026)",Limited need-based aid/scholarships may be available (verify with program; not guaranteed),Verified timeline on official Belin-Blank page 2026-08-03. Good 'reach but attainable' selective option between RSI/SSP tier and pre-college tier.,https://belinblank.education.uiowa.edu/students/sstp/,https://belinblank.education.uiowa.edu/students/sstp/ (fetched 2026-08-03)
RISE (Research in Science & Engineering) — Boston University,summer_programs,🟢 Watch List,"2026 cycle (verified): deadline February 4, 2026 (11:59pm EST); recommendations due February 11, 2026. Expected 2027: ~early February 2027.",Rising seniors (current juniors) — high school students entering senior year. (Verify exact grade requirement on site.),"Approx $8,000–$11,000 depending on track (2026 exact rates on tuition page — Internship track is the higher tier; $1,000 deposit to reserve a place). Approximate — verify.",Need-based financial aid available (financial aid documents are part of the application),Internship track is selective (faculty matching phase after initial review; offers only if a mentor agrees to host). Verified timeline on official BU page 2026-08-03; cost approximate — see BU tuition page.,https://www.bu.edu/summer/high-school-programs/rise/,https://www.bu.edu/summer/high-school-programs/rise/ (fetched 2026-08-03)
"UConn Mentor Connection — University of Connecticut (Storrs, CT)",summer_programs,🟢 Watch List,Expected 2027 window: applications open ~November/December 2026; deadline ~March/April 2027 (recent cycles vary — verify).,"Rising high school juniors and seniors (entering grades 11-12); requires transcript, recommendations, essays.","Approx $3,000–$4,500 for the residential session (recent cycles ~$3,500 incl. room/board — APPROXIMATE, verify current fee)",Need-based financial aid/scholarships historically available (verify current policy),"APPROXIMATE details flagged — official site could not be fetched this session (network/DNS blocked). Verify cost, dates, and deadline directly at the URL before applying.; [DEAD: https://enrichment-programs.uconn.edu/mentor-connection/]",,https://enrichment-programs.uconn.edu/mentor-connection/ (could not fetch — verify)
NSLC Law & Advocacy — National Student Leadership Conference (Washington DC),summer_programs,🟢 Watch List,Rolling admissions — applications accepted on a rolling basis; popular sessions fill months ahead. Apply fall 2026 for best session choice for summer 2027.,High school students (grades 9-12) — no GPA or test requirement; enrollment-based with rolling acceptance.,"$4,195–$4,395 per session (2026 pricing; varies by location/session)",Merit scholarships available (NSLC awards scholarships based on merit/leadership — not need-based; apply early),"Verified program exists with Law & Advocacy + International Law & Politics tracks at DC campuses on official NSLC site 2026-08-03. Compare with YYGS 'Politics, Law & Economics' track for the law interest.",https://www.nslcleaders.org/youth-leadership-programs/law-advocacy/,https://www.nslcleaders.org/youth-leadership-programs/law-advocacy/ and nslcleaders.org (fetched 2026-08-03)
Scholastic Art & Writing Awards 2027,writing_humanities,🟢 Watch List,"Entries open ~Oct 1, 2026. Deadlines vary by region; CT region deadline typically early December 2026 (2026 cycle: first regional deadlines Dec 1, 2025, some regions as late as Jan 6). Confirm CT deadline via region locator.","Students in grades 7-12 (age 13+) in the US, Canada, or American schools abroad",$10 per individual entry; $30 per portfolio; fee waiver option available,"Scholarships (up to $10,000 via partners) for National Medalists; national medals; NYC exhibition & awards ceremony; Gold Key/ Silver Key/ Honorable Mention certificates","Run by the Alliance for Young Artists & Writers. 2026 calendar: entries opened Oct 1, 2025; regional announcement Jan 28, 2026; national announcement Mar 25, 2026; National Awards Week June 9-11, 2026. Expect the same pattern for 2027 (entries Oct 2026, CT deadline ~Dec 2026). Strongest writing categories: flash fiction, poetry, personal essay, journalism.",https://www.artandwriting.org/awards/how-to-enter/,"artandwriting.org/awards/how-to-enter/ and /calendar/ (fetched Aug 3, 2026)"
National History Day 2026-27 (Connecticut),writing_humanities,🟢 Watch List,Rolling: join through school or homeschool program fall 2026; CT regional contests ~Feb-Mar 2027; CT state contest ~April 2027; national contest June 2027,Students in grades 6-12,Free to participate at school/regional level (some affiliates charge modest contest registration; national travel at student expense),National-level scholarships and prizes (incl. tuition scholarships from partner universities); not need-based,"Theme for 2027 announced on nhd.org (Innovation in History: Impact, Influence, Change). CT program contacts via Connecticut State Library libguides (ctstatelibrary.org). Strong humanities credential with national recognition; top 2 per category per affiliate advance to nationals (~3,000 students compete).",https://www.nhd.org/contest,"nhd.org/contest (fetched Aug 3, 2026); 2027 theme confirmed via nhd.org search snippet"
Bennington College Young Writers Awards,writing_humanities,🟢 Watch List,"November 1, 2026 (entries open September 1, 2026); winners announced ~April 2027",High school students in grades 9-12 worldwide,Free to enter,"Cash prizes for 1st/2nd/3rd in each category; if enrolled at Bennington: 1st place $15,000/yr scholarship ($60,000 over 4 years), 2nd place $10,000/yr ($40,000 over 4 years); distinguished-submission recognition at each grade level","Bennington has 12 Pulitzer Prize winners and 3 US poet laureates among alumni. 2026-27 cycle: opens Sept 1, 2026, closes Nov 1, 2026 (2025-26 cycle closed Nov 1, 2025 per Bennington Banner). Competition is intense; judges look for originality, craft, and a distinct voice.",https://www.bennington.edu/events/bennington-young-creators-awards/bennington-young-writers-awards,"bennington.edu official page (URL located via Bing); deadline/categories cross-checked against Bennington Banner & aggregator listings (fetched Aug 3, 2026)"
New York Times Learning Network Student Writing Contests 2026-27,writing_humanities,🟢 Watch List,"Tiny Memoir: Oct 28, 2026. Open Letters: Mar 31, 2027. (Other 2026-27 contests: Dec 9, 2026; Feb 17, 2027; May 12, 2027; summer 2027 windows)","Ages 13-19 in middle or high school, worldwide; submissions in English; one entry per contest",Free,No cash; winning and honorable-mention entries are published on NYTimes.com (highly prestigious byline credential),"Blind judging by Learning Network staff, NYT journalists, and educators; results announced ~2-3 months after each contest closes; entrants retain copyright. 2026-27 calendar published July 30, 2026. The Tiny Memoir contest (100 words) is a low-effort, high-value early-season target.",https://www.nytimes.com/spotlight/learning-contests,"NYT article 'Our 2026-27 Student Contest Calendar' (July 30, 2026), fetched Aug 3, 2026"
Foyle Young Poets of the Year Award,writing_humanities,🟢 Watch List,"July 31, 2027 (annual deadline July 31; the 2026 deadline of July 31, 2026 has just passed)",Ages 11-17 on the July 31 deadline; international (entries in English),Free,Prizes: poetry book collections and year-long membership for all 100 winners; mentoring + anthology publication for top 15; ceremony in October,"Roughly 100 winners from ~15,000+ entries per year; a genuine national (UK) and international honor; entry via online portal at foyleyoungpoets.org/apply. Top 15 winners historically go on to major literary recognition. Good long-cycle target for the 2026-27 school year.",https://www.foyleyoungpoets.org,"poetrysociety.org.uk and foyleyoungpoets.org via Bing search snippets (fetched Aug 3, 2026)"
Princeton University Ten-Minute Play Contest (Lewis Center for the Arts),writing_humanities,🟢 Watch List,2027 contest opens ~January 2027 and closes when the entry cap is reached (2026 cycle closed ~Feb/Mar 2026),High school students in 11th grade (or international equivalent),Free,Winning plays published in Princeton's digital anthology (no cash prize),Judged by a guest playwright (recent years featured professional playwrights); strong name-brand humanities credential; 10-minute play (roughly 10 pages) is a manageable project for a writer exploring drama.,https://arts.princeton.edu/about/opportunities/high-school-contests/ten-minute-play-contest/,"arts.princeton.edu via Bing search snippets (fetched Aug 3, 2026)"
Ocean Awareness Contest (Bow Seat),writing_humanities,🟢 Watch List,"~June 15, 2027 (2026 deadline was June 15; 2027 theme and exact date announced in fall 2026)",Ages 11-18 worldwide (middle and high school),Free,"Cash awards up to $1,000 (Gold/Silver/Bronze) plus merit awards; winning work published in Bow Seat's online gallery and annual book",Run by Bow Seat Ocean Awareness Programs (nonprofit); submissions require a short reflection/process statement; strong fit if the student wants to combine writing with climate/environmental advocacy themes.,https://bowseat.org/programs/ocean-awareness-contest/,"bowseat.org via Bing search snippets (fetched Aug 3, 2026)"
Lynn DeCaro Contest (Connecticut Poetry Society),writing_humanities,🟢 Watch List,"Spring, typically Feb-May (2026 cycle opened late Feb 2026; exact 2027 window TBD - check ctpoetry.org and connecticutriverreview.submittable.com)","Connecticut high school students, grades 9-12",Free,Free 1-year Connecticut Poetry Society membership + publication/recognition in Connecticut River Review,"2026 winners came from CT IB Academy (East Hartford), Glastonbury HS, Loomis Chaffee, Taft School, and others; judged by an established poet each year (2026: Margaret Hunt). A low-competition local credential that complements national contests.",https://ctpoetry.org/lynn-decaro-award/,"ctpoetry.org/lynn-decaro-award/ (fetched Aug 3, 2026)"
"ASAP Celebration of Young Writers (After School Arts Program, CT)",writing_humanities,🟢 Watch List,"March 22, 2027 (submissions open Feb 1, 2027)","Connecticut students - public, private, and homeschooled (all grade levels)",Free (no entry fee indicated),Publication of selected works + recognition at spring awards ceremony,Run by ASAP (After School Arts Program) in the Northwest Corner of CT; juried selection of poetry and prose; a low-stakes local opportunity that rounds out a writing resume.,https://asapct.org/programs/celebration-of-young-writers/,"asapct.org/programs/celebration-of-young-writers/ (fetched Aug 3, 2026)"
